,zona,area_quartos,enderecos_lista,aluguel
7,norte,18 m² construídos1 quarto,"Francisco Alves Bezerra, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",650
8,norte,50 m² construídos1 quarto,"Rua Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",750
9,norte,48 m² construídos2 quartos,"Rua Carolina Soares 938, Limão, São Paulo Zona Norte, São Paulo",1.200
10,norte,35 m² construídos1 quarto,"Antonio Cavazan 389, Parque Peruche, São Paulo Zona Norte, São Paulo",700
11,norte,50 m² construídos1 quarto,"Aimutong 6, Tucuruvi, São Paulo Zona Norte, São Paulo",950
12,norte,35 m² construídos1 quarto,"Aranguera, Vila Medeiros, São Paulo Zona Norte, São Paulo",800
13,norte,70 m² construídos1 quarto,"Galeão Coutinho 48, Vila Marina, São Paulo Zona Norte, São Paulo",850
14,norte,70 m² construídos3 quartos,"Caiena 200, Jardim Peri, São Paulo Zona Norte, São Paulo",930
15,norte,30 m² construídos1 quarto,"Soldado Gentil Guimarães, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",800
16,norte,70 m² construídos1 quarto,"Gervásio Leite Rebelo 292, Jardim Peri, São Paulo Zona Norte, São Paulo",700
17,norte,55 m² construídos2 quartos,"Ponte Branca 245, Vila Souza, São Paulo Zona Norte, São Paulo",900
18,norte,45 m² construídos1 quarto,"Gervasio Leite  292, Jardim Peri, São Paulo Zona Norte, São Paulo",700
19,norte,50 m² construídos1 quarto,"Dos Patis 671, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",900
20,norte,20 m² construídos1 quarto,"Doutor Benedito Estevam Dos Santos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",750
21,norte,85 m² construídos5 quartos,"Jarbas Nielsen 01, Vila Francos, São Paulo Zona Norte, São Paulo",1.900
22,norte,20 m² construídos1 quarto,"Sargento Agostinho Ferreira, Vila Maria, São Paulo Zona Norte, São Paulo",700
23,norte,40 m² construídos1 quarto,"Rua Ponte Branca 245, Vila Souza, São Paulo Zona Norte, São Paulo",700
24,norte,30 m² construídos1 quarto,"Rua São Francisco De Humaitá 447, Jardim Ondina, São Paulo Zona Norte, São Paulo",550
25,norte,48 m² construídos1 quarto,"Rua Dom Carlos Gouveia 36, Jardim Peri, São Paulo Zona Norte, São Paulo",800
26,norte,45 m² construídos2 quartos,"José Da Silva Leal, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.100
27,norte,15 m² construídos1 quarto,"Coronel Francisco De Araújo, Vila Ede, São Paulo Zona Norte, São Paulo",800
28,norte,50 m² construídos1 quarto,"Rua Brasiluso Lopes 154, Jardim Peri, São Paulo Zona Norte, São Paulo",500
29,norte,50 m² construídos1 quarto,"Ponte Branca 245, Vila Francos, São Paulo Zona Norte, São Paulo",550
30,norte,130 m² construídos6 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",2.500
31,norte,20 m² construídos1 quarto,"Sargento Agostinho Ferreira, Vila Maria, São Paulo Zona Norte, São Paulo",600
32,norte,70 m² construídos2 quartos,"Rua Pedro De São Martinho 473, Jardim Ondina, São Paulo Zona Norte, São Paulo",1.300
33,norte,50 m² construídos1 quarto,"Rua Real Grandeza 230, Jardim Guarani, São Paulo Zona Norte, São Paulo",650
34,norte,60 m² construídos2 quartos,"Rua Joaquim De Oliveira Freitas, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.200
35,norte,35 m² construídos1 quarto,"Rua Antonio Cavazan 389, Parque Peruche, São Paulo Zona Norte, São Paulo",700
36,norte,55 m² construídos2 quartos,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1.300
37,norte,25 m² construídos1 quarto,"Simão Borges, Vila Maria Alta, São Paulo Zona Norte, São Paulo",750
38,norte,200 m² construídos1 quarto,"Caiena 30, Jardim Peri, São Paulo Zona Norte, São Paulo",750
39,norte,134 m² construídos3 quartos,"Rua Itaguaçaba, Vila Romero, São Paulo Zona Norte, São Paulo",2.000
40,norte,90 m² construídos2 quartos,"Felisberto Freire 523, Vila Amália, São Paulo Zona Norte, São Paulo",1.600
41,norte,360 m² construídos2 quartos,"Rua Monteiro De Camargo 72, Jardim Peri, São Paulo Zona Norte, São Paulo",950
42,norte,60 m² construídos1 quarto,"Rua Brasiluso Lopes 154, Jardim Peri, São Paulo Zona Norte, São Paulo",500
43,norte,18 m² construídos1 quarto,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",650
44,norte,50 m² construídos1 quarto,"Marcelino Machado, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.000
45,norte,1 quarto,"Vila Guaca, São Paulo Zona Norte, São Paulo",800
46,norte,35 m² construídos1 quarto,"Soldado João Rodrigues, Jardim Japão, São Paulo Zona Norte, São Paulo",650
47,norte,40 m² construídos1 quarto,"Vila Mangalot, São Paulo Zona Norte, São Paulo",880
0,norte,100 m² construídos3 quartos,"Professora Maria José Barone Fernandes, Vila Maria, São Paulo Zona Norte, São Paulo",1.900
1,norte,50 m² construídos2 quartos,"Antônio Carlos Taveira, Vila Ede, São Paulo Zona Norte, São Paulo",900
